,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,68996,%many-values%,all,all
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,13329,%many-values%,all,all
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,12935,%many-values%,all,all
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,10385,%many-values%,all,all
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,7943,%many-values%,all,all
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,5096,%many-values%,all,all
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,4061,%many-values%,all,all
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,3456,%many-values%,all,all
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,3097,%many-values%,all,all
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,2853,%many-values%,all,all
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,2944,%many-values%,all,all
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,2897,%many-values%,all,all
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,1884,Accompanied Minors (AM),all,all
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,424,Accompanied Minors (AM),all,all
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,305,Accompanied Minors (AM),all,all
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,169,Accompanied Minors (AM),all,all
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,155,Accompanied Minors (AM),all,all
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,134,Accompanied Minors (AM),all,all
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,159,Accompanied Minors (AM),all,all
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,145,Accompanied Minors (AM),all,all
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,105,Accompanied Minors (AM),all,all
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,87,Accompanied Minors (AM),all,all
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,89,Accompanied Minors (AM),all,all
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,112,Accompanied Minors (AM),all,all
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,1912,Unaccompanied Children (UC) / Single Minors,all,all
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,313,Unaccompanied Children (UC) / Single Minors,all,all
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,273,Unaccompanied Children (UC) / Single Minors,all,all
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,208,Unaccompanied Children (UC) / Single Minors,all,all
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,174,Unaccompanied Children (UC) / Single Minors,all,all
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,167,Unaccompanied Children (UC) / Single Minors,all,all
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,154,Unaccompanied Children (UC) / Single Minors,all,all
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,139,Unaccompanied Children (UC) / Single Minors,all,all
