,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
0,2018,2018,SEP,SEP,50568,all,all,all,all
1,2019,2019,SEP,SEP,52546,all,all,all,all
2,2020,2020,SEP,SEP,57674,all,all,all,all
3,2018,2018,AUG,AUG,46719,all,all,all,all
4,2019,2019,AUG,AUG,62707,all,all,all,all
5,2020,2020,AUG,AUG,50014,all,all,all,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,208887,all,all,all,all
7,2018,2018,JUL,JUL,40149,all,all,all,all
8,2019,2019,JUL,JUL,81777,all,all,all,all
9,2020,2020,JUL,JUL,40929,all,all,all,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,213534,all,all,all,all
11,2018,2018,JUN,JUN,43180,all,all,all,all
12,2019,2019,JUN,JUN,104311,all,all,all,all
13,2020,2020,JUN,JUN,33049,all,all,all,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,189020,all,all,all,all
15,2018,2018,MAY,MAY,51862,all,all,all,all
16,2019,2019,MAY,MAY,144116,all,all,all,all
17,2020,2020,MAY,MAY,23237,all,all,all,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,180563,all,all,all,all
19,2018,2018,APR,APR,51168,all,all,all,all
20,2019,2019,APR,APR,109415,all,all,all,all
21,2020,2020,APR,APR,17106,all,all,all,all
22,2021 (FYTD),2021 (FYTD),APR,APR,178799,all,all,all,all
23,2018,2018,MAR,MAR,50347,all,all,all,all
24,2019,2019,MAR,MAR,103731,all,all,all,all
25,2020,2020,MAR,MAR,34460,all,all,all,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,173281,all,all,all,all
27,2018,2018,FEB,FEB,36751,all,all,all,all
28,2019,2019,FEB,FEB,76545,all,all,all,all
29,2020,2020,FEB,FEB,36687,all,all,all,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,101099,all,all,all,all
31,2018,2018,JAN,JAN,35905,all,all,all,all
32,2019,2019,JAN,JAN,58317,all,all,all,all
33,2020,2020,JAN,JAN,36585,all,all,all,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,78414,all,all,all,all
35,2018,2018,DEC,DEC,40519,all,all,all,all
36,2019,2019,DEC,DEC,60794,all,all,all,all
37,2020,2020,DEC,DEC,40565,all,all,all,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,73995,all,all,all,all
39,2018,2018,NOV,NOV,39051,all,all,all,all
40,2019,2019,NOV,NOV,62469,all,all,all,all
41,2020,2020,NOV,NOV,42643,all,all,all,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,72113,all,all,all,all
43,2018,2018,OCT,OCT,34871,all,all,all,all
44,2019,2019,OCT,OCT,60781,all,all,all,all
45,2020,2020,OCT,OCT,45139,all,all,all,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,71946,all,all,all,all
0,2018,2018,SEP,SEP,50568,all,all,all,Title 8
1,2019,2019,SEP,SEP,52546,all,all,all,Title 8
