Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2020,2020,SEP,SEP,57674,all,all,all,all
2021,2021,SEP,SEP,192001,all,all,all,all
2022,2022,SEP,SEP,227547,all,all,all,all
2020,2020,AUG,AUG,50014,all,all,all,all
2021,2021,AUG,AUG,209840,all,all,all,all
2022,2022,AUG,AUG,204087,all,all,all,all
2020,2020,JUL,JUL,40929,all,all,all,all
2021,2021,JUL,JUL,213593,all,all,all,all
2022,2022,JUL,JUL,200162,all,all,all,all
2020,2020,JUN,JUN,33049,all,all,all,all
2021,2021,JUN,JUN,189034,all,all,all,all
2022,2022,JUN,JUN,207834,all,all,all,all
2020,2020,MAY,MAY,23237,all,all,all,all
2021,2021,MAY,MAY,180597,all,all,all,all
2022,2022,MAY,MAY,241136,all,all,all,all
2020,2020,APR,APR,17106,all,all,all,all
2021,2021,APR,APR,178795,all,all,all,all
2022,2022,APR,APR,235785,all,all,all,all
2020,2020,MAR,MAR,34460,all,all,all,all
2021,2021,MAR,MAR,173277,all,all,all,all
2022,2022,MAR,MAR,222574,all,all,all,all
2020,2020,FEB,FEB,36687,all,all,all,all
2021,2021,FEB,FEB,101099,all,all,all,all
2022,2022,FEB,FEB,166010,all,all,all,all
2020,2020,JAN,JAN,36585,all,all,all,all
2021,2021,JAN,JAN,78414,all,all,all,all
2022,2022,JAN,JAN,154874,all,all,all,all
2020,2020,DEC,DEC,40565,all,all,all,all
2021,2021,DEC,DEC,73994,all,all,all,all
2022,2022,DEC,DEC,179253,all,all,all,all
2023 (FYTD),2023 (FYTD),DEC,DEC,251487,all,all,all,all
2020,2020,NOV,NOV,42643,all,all,all,all
2021,2021,NOV,NOV,72113,all,all,all,all
2022,2022,NOV,NOV,174845,all,all,all,all
2023 (FYTD),2023 (FYTD),NOV,NOV,234896,all,all,all,all
2020,2020,OCT,OCT,45139,all,all,all,all
2021,2021,OCT,OCT,71929,all,all,all,all
2022,2022,OCT,OCT,164837,all,all,all,all
2023 (FYTD),2023 (FYTD),OCT,OCT,231277,all,all,all,all
2020,2020,SEP,SEP,7607,all,all,all,Title 8
2021,2021,SEP,SEP,89328,all,all,all,Title 8
2022,2022,SEP,SEP,153295,all,all,all,Title 8
2020,2020,AUG,AUG,5561,all,all,all,Title 8
2021,2021,AUG,AUG,114433,all,all,all,Title 8
2022,2022,AUG,AUG,129378,all,all,all,Title 8
2020,2020,JUL,JUL,4058,all,all,all,Title 8
2021,2021,JUL,JUL,117341,all,all,all,Title 8
2022,2022,JUL,JUL,122456,all,all,all,Title 8
2020,2020,JUN,JUN,3220,all,all,all,Title 8
2021,2021,JUN,JUN,84106,all,all,all,Title 8
2022,2022,JUN,JUN,113154,all,all,all,Title 8
2020,2020,MAY,MAY,2342,all,all,all,Title 8
2021,2021,MAY,MAY,67205,all,all,all,Title 8
2022,2022,MAY,MAY,135362,all,all,all,Title 8
2020,2020,APR,APR,1584,all,all,all,Title 8
2021,2021,APR,APR,66205,all,all,all,Title 8
2022,2022,APR,APR,135211,all,all,all,Title 8
2020,2020,MAR,MAR,27310,all,all,all,Title 8
2021,2021,MAR,MAR,64028,all,all,all,Title 8
2022,2022,MAR,MAR,110493,all,all,all,Title 8
2020,2020,FEB,FEB,36687,all,all,all,Title 8
2021,2021,FEB,FEB,26834,all,all,all,Title 8
2022,2022,FEB,FEB,72857,all,all,all,Title 8
2020,2020,JAN,JAN,36585,all,all,all,Title 8
2021,2021,JAN,JAN,14110,all,all,all,Title 8
2022,2022,JAN,JAN,75159,all,all,all,Title 8
2020,2020,DEC,DEC,40565,all,all,all,Title 8
2021,2021,DEC,DEC,11652,all,all,all,Title 8
2022,2022,DEC,DEC,97100,all,all,all,Title 8
2023 (FYTD),2023 (FYTD),DEC,DEC,202082,all,all,all,Title 8
2020,2020,NOV,NOV,42643,all,all,all,Title 8
2021,2021,NOV,NOV,8883,all,all,all,Title 8
2022,2022,NOV,NOV,84658,all,all,all,Title 8
2023 (FYTD),2023 (FYTD),NOV,NOV,166348,all,all,all,Title 8
2020,2020,OCT,OCT,45139,all,all,all,Title 8
2021,2021,OCT,OCT,7035,all,all,all,Title 8
2022,2022,OCT,OCT,70314,all,all,all,Title 8
2023 (FYTD),2023 (FYTD),OCT,OCT,151440,all,all,all,Title 8
2020,2020,SEP,SEP,50067,all,all,all,Title 42
2021,2021,SEP,SEP,102673,all,all,all,Title 42
2022,2022,SEP,SEP,74252,all,all,all,Title 42
2020,2020,AUG,AUG,44453,all,all,all,Title 42
2021,2021,AUG,AUG,95407,all,all,all,Title 42
2022,2022,AUG,AUG,74709,all,all,all,Title 42
2020,2020,JUL,JUL,36871,all,all,all,Title 42
2021,2021,JUL,JUL,96252,all,all,all,Title 42
2022,2022,JUL,JUL,77706,all,all,all,Title 42
2020,2020,JUN,JUN,29829,all,all,all,Title 42
2021,2021,JUN,JUN,104928,all,all,all,Title 42
2022,2022,JUN,JUN,94680,all,all,all,Title 42
2020,2020,MAY,MAY,20895,all,all,all,Title 42
2021,2021,MAY,MAY,113392,all,all,all,Title 42
2022,2022,MAY,MAY,105774,all,all,all,Title 42
2020,2020,APR,APR,15522,all,all,all,Title 42
