Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,SEP,SEP,52546,all,all,all,all
2020,2020,SEP,SEP,57674,all,all,all,all
2021,2021,SEP,SEP,192001,all,all,all,all
2019,2019,AUG,AUG,62707,all,all,all,all
2020,2020,AUG,AUG,50014,all,all,all,all
2021,2021,AUG,AUG,209840,all,all,all,all
2019,2019,JUL,JUL,81777,all,all,all,all
2020,2020,JUL,JUL,40929,all,all,all,all
2021,2021,JUL,JUL,213593,all,all,all,all
2019,2019,JUN,JUN,104311,all,all,all,all
2020,2020,JUN,JUN,33049,all,all,all,all
2021,2021,JUN,JUN,189034,all,all,all,all
2019,2019,MAY,MAY,144116,all,all,all,all
2020,2020,MAY,MAY,23237,all,all,all,all
2021,2021,MAY,MAY,180597,all,all,all,all
2019,2019,APR,APR,109415,all,all,all,all
2020,2020,APR,APR,17106,all,all,all,all
2021,2021,APR,APR,178795,all,all,all,all
2022 (FYTD),2022 (FYTD),APR,APR,234088,all,all,all,all
2019,2019,MAR,MAR,103731,all,all,all,all
2020,2020,MAR,MAR,34460,all,all,all,all
2021,2021,MAR,MAR,173277,all,all,all,all
2022 (FYTD),2022 (FYTD),MAR,MAR,222144,all,all,all,all
2019,2019,FEB,FEB,76545,all,all,all,all
2020,2020,FEB,FEB,36687,all,all,all,all
2021,2021,FEB,FEB,101099,all,all,all,all
2022 (FYTD),2022 (FYTD),FEB,FEB,165900,all,all,all,all
2019,2019,JAN,JAN,58317,all,all,all,all
2020,2020,JAN,JAN,36585,all,all,all,all
2021,2021,JAN,JAN,78414,all,all,all,all
2022 (FYTD),2022 (FYTD),JAN,JAN,154816,all,all,all,all
2019,2019,DEC,DEC,60794,all,all,all,all
2020,2020,DEC,DEC,40565,all,all,all,all
2021,2021,DEC,DEC,73994,all,all,all,all
2022 (FYTD),2022 (FYTD),DEC,DEC,179254,all,all,all,all
2019,2019,NOV,NOV,62469,all,all,all,all
2020,2020,NOV,NOV,42643,all,all,all,all
2021,2021,NOV,NOV,72113,all,all,all,all
2022 (FYTD),2022 (FYTD),NOV,NOV,174849,all,all,all,all
2019,2019,OCT,OCT,60781,all,all,all,all
2020,2020,OCT,OCT,45139,all,all,all,all
2021,2021,OCT,OCT,71929,all,all,all,all
2022 (FYTD),2022 (FYTD),OCT,OCT,164849,all,all,all,all
2019,2019,SEP,SEP,52546,all,all,all,Title 8
2020,2020,SEP,SEP,7607,all,all,all,Title 8
2021,2021,SEP,SEP,89328,all,all,all,Title 8
2019,2019,AUG,AUG,62707,all,all,all,Title 8
2020,2020,AUG,AUG,5561,all,all,all,Title 8
2021,2021,AUG,AUG,114433,all,all,all,Title 8
2019,2019,JUL,JUL,81777,all,all,all,Title 8
2020,2020,JUL,JUL,4058,all,all,all,Title 8
2021,2021,JUL,JUL,117341,all,all,all,Title 8
2019,2019,JUN,JUN,104311,all,all,all,Title 8
2020,2020,JUN,JUN,3220,all,all,all,Title 8
2021,2021,JUN,JUN,84106,all,all,all,Title 8
2019,2019,MAY,MAY,144116,all,all,all,Title 8
2020,2020,MAY,MAY,2342,all,all,all,Title 8
2021,2021,MAY,MAY,67205,all,all,all,Title 8
2019,2019,APR,APR,109415,all,all,all,Title 8
