Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,SEP,SEP,"52,546",all,all,all,all
2020,2020,SEP,SEP,"57,674",all,all,all,all
2021,2021,SEP,SEP,"192,001",all,all,all,all
2019,2019,AUG,AUG,"62,707",all,all,all,all
2020,2020,AUG,AUG,"50,014",all,all,all,all
2021,2021,AUG,AUG,"209,840",all,all,all,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"203,597",all,all,all,all
2019,2019,JUL,JUL,"81,777",all,all,all,all
2020,2020,JUL,JUL,"40,929",all,all,all,all
2021,2021,JUL,JUL,"213,593",all,all,all,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"200,195",all,all,all,all
2019,2019,JUN,JUN,"104,311",all,all,all,all
2020,2020,JUN,JUN,"33,049",all,all,all,all
2021,2021,JUN,JUN,"189,034",all,all,all,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"207,986",all,all,all,all
2019,2019,MAY,MAY,"144,116",all,all,all,all
2020,2020,MAY,MAY,"23,237",all,all,all,all
2021,2021,MAY,MAY,"180,597",all,all,all,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"241,166",all,all,all,all
2019,2019,APR,APR,"109,415",all,all,all,all
2020,2020,APR,APR,"17,106",all,all,all,all
2021,2021,APR,APR,"178,795",all,all,all,all
2022 (FYTD),2022 (FYTD),APR,APR,"235,706",all,all,all,all
2019,2019,MAR,MAR,"103,731",all,all,all,all
2020,2020,MAR,MAR,"34,460",all,all,all,all
2021,2021,MAR,MAR,"173,277",all,all,all,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"222,333",all,all,all,all
2019,2019,FEB,FEB,"76,545",all,all,all,all
2020,2020,FEB,FEB,"36,687",all,all,all,all
2021,2021,FEB,FEB,"101,099",all,all,all,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"165,903",all,all,all,all
2019,2019,JAN,JAN,"58,317",all,all,all,all
2020,2020,JAN,JAN,"36,585",all,all,all,all
2021,2021,JAN,JAN,"78,414",all,all,all,all
2022 (FYTD),2022 (FYTD),JAN,JAN,"154,813",all,all,all,all
2019,2019,DEC,DEC,"60,794",all,all,all,all
2020,2020,DEC,DEC,"40,565",all,all,all,all
2021,2021,DEC,DEC,"73,994",all,all,all,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"179,252",all,all,all,all
2019,2019,NOV,NOV,"62,469",all,all,all,all
2020,2020,NOV,NOV,"42,643",all,all,all,all
2021,2021,NOV,NOV,"72,113",all,all,all,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"174,846",all,all,all,all
2019,2019,OCT,OCT,"60,781",all,all,all,all
2020,2020,OCT,OCT,"45,139",all,all,all,all
2021,2021,OCT,OCT,"71,929",all,all,all,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"164,842",all,all,all,all
2019,2019,SEP,SEP,"52,546",all,all,all,Title 8
2020,2020,SEP,SEP,"7,607",all,all,all,Title 8
2021,2021,SEP,SEP,"89,328",all,all,all,Title 8
2019,2019,AUG,AUG,"62,707",all,all,all,Title 8
2020,2020,AUG,AUG,"5,561",all,all,all,Title 8
2021,2021,AUG,AUG,"114,433",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,"130,445",all,all,all,Title 8
