Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"152,870",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,"22,437",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"18,430",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"15,515",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"16,769",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"32,284",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"11,393",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"6,840",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,"6,996",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,"8,651",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,"7,830",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,"5,725",%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,"2,782",Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,AUG,AUG,297,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,275,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,171,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,235,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,285,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,256,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,229,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,239,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,305,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,303,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,"2,617",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,352,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,271,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,324,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,255,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,313,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,245,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,200,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,141,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,174,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,158,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,"68,266",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,"12,504",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,"9,231",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,"7,747",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,"8,391",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,"18,053",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,"3,865",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,"1,557",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,"1,584",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,"2,310",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,"1,782",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,"1,242",FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,"79,205",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,"9,284",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,"8,653",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,"7,273",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,"7,888",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,"13,633",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,"7,027",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,"4,854",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,"5,032",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,"5,862",Single Adults,all,all
