Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,47441,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,11397,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,6840,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,6996,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,8653,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,7830,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,5725,%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,1517,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,256,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,229,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,238,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,304,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,303,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,1111,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,246,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,201,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,143,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,177,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,160,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,12329,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,3863,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1556,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1581,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2308,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1239,FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,32484,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,7032,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,4854,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,5034,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,5864,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,5561,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,4139,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,1013513,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,209906,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,159054,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,147816,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,170599,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,167016,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,159122,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,72384,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,13921,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11783,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8610,UC / Single Minors,all,all
