Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,53909,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,27501,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,26408,%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,474,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,225,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,249,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,703,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,339,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,364,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,26786,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,13643,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,13143,FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,25946,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,13294,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,12652,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,411125,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,206239,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,204886,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,24471,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,12811,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,11660,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,96182,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,49520,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,46662,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,290472,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,143908,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,146564,Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,465034,%many-values%,all,all
%all%,%all%,%all%,%all%,NOV,NOV,233740,%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,231294,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,49948,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,25616,%many-values%,all,Title 8
