Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,112015,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,15518,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,16771,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,32288,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,11394,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,6840,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,6996,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,8653,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,7830,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,5725,%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,2205,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,169,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,235,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,284,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,256,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,229,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,238,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,304,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,303,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,2004,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,325,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,255,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,317,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,245,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,200,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,142,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,177,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,159,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,46529,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,7751,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,8391,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,18051,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,3865,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1557,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1584,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2308,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1240,FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,61277,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,7273,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,7890,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,13636,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,7028,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,4854,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,5032,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,5864,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,5561,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,4139,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,1634104,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,191898,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,224220,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,203418,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,210946,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,159065,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,147817,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,170601,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,167018,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,159121,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,113576,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,14946,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,14423,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,11858,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,13893,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11781,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8609,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,11704,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,13745,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12617,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,356174,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,44029,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,51143,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,37081,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,34053,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,25167,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,30420,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,49437,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,43281,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,41563,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,1164354,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,132923,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,158654,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,154479,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,163000,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,122117,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,108788,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,109460,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,109992,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,104941,Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,1746119,%many-values%,all,all
%all%,%all%,%all%,%all%,JUN,JUN,207416,%many-values%,all,all
%all%,%all%,%all%,%all%,MAY,MAY,240991,%many-values%,all,all
%all%,%all%,%all%,%all%,APR,APR,235706,%many-values%,all,all
%all%,%all%,%all%,%all%,MAR,MAR,222340,%many-values%,all,all
%all%,%all%,%all%,%all%,FEB,FEB,165905,%many-values%,all,all
%all%,%all%,%all%,%all%,JAN,JAN,154813,%many-values%,all,all
%all%,%all%,%all%,%all%,DEC,DEC,179254,%many-values%,all,all
%all%,%all%,%all%,%all%,NOV,NOV,174848,%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,164846,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,92349,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,13626,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,14594,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,30038,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,8993,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,4569,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,4806,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,6342,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,5493,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,3888,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,555,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,59,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,39,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,79,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,49,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,44,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,64,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,73,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,2004,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,325,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,255,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,317,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,245,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,200,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,142,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,177,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,159,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,46529,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,7751,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,8391,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,18051,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,3865,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1557,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1584,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2308,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1240,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,43261,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,5491,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,5909,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,11591,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,4834,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2768,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,3016,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,3784,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,3447,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,2421,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,805872,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,101517,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,122294,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,105365,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,101594,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,68344,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,70403,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,90759,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,79166,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,66430,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,113564,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,14940,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,14421,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,11858,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,13893,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11780,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8609,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,11703,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,13743,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12617,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,262826,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,30001,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,40772,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,29492,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,26126,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,17152,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,21937,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,37532,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,31661,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,28153,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,429482,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,56576,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,67101,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,64015,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,61575,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,39412,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,39857,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,41524,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,33762,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,25660,Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,898221,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUN,JUN,115143,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAY,MAY,136888,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,APR,APR,135403,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAR,MAR,110587,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,72913,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,75209,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,97101,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,84659,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,70318,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,19666,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,1892,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,2177,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,2250,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,2401,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,2271,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,2190,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,2311,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,2337,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1837,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,1650,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,110,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,196,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,205,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,207,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,185,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,174,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,231,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,223,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,119,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,18016,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,1782,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1981,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,2045,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,2194,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2086,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,2016,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,2080,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,2114,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,1718,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,828232,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,90381,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,101926,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,98053,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,109352,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,90721,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,77414,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,79842,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,87852,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,92691,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,12,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,6,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,2,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,1,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,1,UC / Single Minors,all,Title 42
