Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,36047,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,6841,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,6997,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,8653,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,7831,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,5725,%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,1261,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,229,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,238,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,304,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,303,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,865,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,201,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,143,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,177,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,160,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,8466,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1556,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1581,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2308,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1239,FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,25455,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,4855,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,5035,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,5864,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,5562,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,4139,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,802638,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,158132,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,147748,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,170603,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,167039,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,159116,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,58503,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11810,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8617,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,11710,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,13748,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12618,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,189717,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,25026,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,30417,FMUA,all,all
