Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"172,508",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,SEP,SEP,"19,950",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,"22,313",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"18,328",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"15,435",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"16,766",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"32,281",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"11,393",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"6,840",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,"6,997",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,"8,651",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,"7,830",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,"5,724",%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,"2,963",Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,SEP,SEP,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,AUG,AUG,295,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,272,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,170,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,235,Accompanied Minors,all,all
