Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"339,843",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"43,557",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"37,522",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"37,616",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"48,446",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"30,423",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"26,568",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,"27,812",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,"29,259",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,"30,505",%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,"28,135",%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,%all%,%all%,"5,235",Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUL,JUL,735,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JUN,JUN,464,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAY,MAY,490,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,APR,APR,529,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,MAR,MAR,546,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,FEB,FEB,488,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,JAN,JAN,447,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,DEC,DEC,534,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,NOV,NOV,515,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,Accompanied Minors,OCT,OCT,487,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,"10,153",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,919,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,926,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,857,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,894,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,"1,070",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,"1,185",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,"1,079",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,"1,054",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,"1,074",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,"1,095",UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,"136,196",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,"20,467",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,"17,239",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,"16,496",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,"23,472",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,"9,981",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,"8,575",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,"9,080",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,"10,316",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,"11,039",FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,"9,531",FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,"188,259",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,"21,436",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,"18,893",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,"19,773",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,"23,551",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,"18,826",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,"16,320",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,"17,206",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,"17,355",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,"17,877",Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,"17,022",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,"4,152,700",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,"492,937",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,"496,858",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,"551,500",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,"492,576",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,"503,378",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,"353,666",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,"300,317",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,"325,346",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,"321,566",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,"314,556",%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,"331,654",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,"39,668",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,"38,927",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,"40,738",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,"38,349",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,"44,538",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,"30,929",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,"22,080",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,"24,532",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,"26,785",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,"25,108",UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,"1,186,315",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,"163,951",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,"153,116",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,"177,448",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,"144,809",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,"144,123",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,"85,595",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,"66,834",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,"89,786",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,"81,621",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,"79,032",FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,"2,634,731",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,"289,318",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,"304,815",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,"333,314",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,"309,418",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,"314,717",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,"237,142",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,"211,403",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,"211,028",Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,"213,160",Single Adults,all,all
