,FSC,Visa Class,Issuances,source,year_month
0,Afghanistan,CR1,2,2021-January,2021-01-01
1,Afghanistan,IR1,23,2021-January,2021-01-01
2,Afghanistan,IR2,2,2021-January,2021-01-01
3,Afghanistan,SB1,3,2021-January,2021-01-01
4,Afghanistan,SI1,1,2021-January,2021-01-01
5,Afghanistan,SQ1,66,2021-January,2021-01-01
6,Afghanistan,SQ2,66,2021-January,2021-01-01
7,Afghanistan,SQ3,236,2021-January,2021-01-01
8,Albania,CR1,12,2021-January,2021-01-01
9,Albania,DV1,1,2021-January,2021-01-01
10,Albania,F41,3,2021-January,2021-01-01
11,Albania,F42,2,2021-January,2021-01-01
12,Albania,F43,4,2021-January,2021-01-01
13,Albania,FX1,1,2021-January,2021-01-01
14,Albania,IR1,17,2021-January,2021-01-01
15,Albania,IR2,3,2021-January,2021-01-01
16,Albania,IR5,15,2021-January,2021-01-01
17,Algeria,CR1,2,2021-January,2021-01-01
18,Algeria,FX1,5,2021-January,2021-01-01
19,Algeria,FX3,1,2021-January,2021-01-01
20,Algeria,IR1,17,2021-January,2021-01-01
21,Algeria,IR2,2,2021-January,2021-01-01
22,Algeria,IR5,3,2021-January,2021-01-01
23,Angola,IR1,2,2021-January,2021-01-01
24,Angola,IR2,1,2021-January,2021-01-01
25,Anguilla,IR1,1,2021-January,2021-01-01
26,Anguilla,IR2,1,2021-January,2021-01-01
27,Antigua and Barbuda,IR1,1,2021-January,2021-01-01
28,Argentina,CR1,2,2021-January,2021-01-01
29,Argentina,CR2,3,2021-January,2021-01-01
30,Argentina,IR1,9,2021-January,2021-01-01
31,Argentina,IR2,4,2021-January,2021-01-01
32,Armenia,CR1,7,2021-January,2021-01-01
33,Armenia,IR1,7,2021-January,2021-01-01
34,Armenia,IR2,4,2021-January,2021-01-01
35,Armenia,IR5,4,2021-January,2021-01-01
36,Australia,CR1,25,2021-January,2021-01-01
37,Australia,E11,1,2021-January,2021-01-01
38,Australia,FX1,1,2021-January,2021-01-01
39,Australia,IR1,18,2021-January,2021-01-01
40,Australia,IR2,2,2021-January,2021-01-01
41,Australia,SB1,1,2021-January,2021-01-01
42,Austria,CR1,1,2021-January,2021-01-01
43,Austria,CR2,1,2021-January,2021-01-01
44,Austria,IR2,1,2021-January,2021-01-01
45,Austria,SB1,1,2021-January,2021-01-01
46,Azerbaijan,CR1,2,2021-January,2021-01-01
47,Azerbaijan,IR1,1,2021-January,2021-01-01
48,"Bahamas, The",CR1,2,2021-January,2021-01-01
49,"Bahamas, The",E31,6,2021-January,2021-01-01
50,"Bahamas, The",E34,2,2021-January,2021-01-01
51,"Bahamas, The",E35,6,2021-January,2021-01-01
52,"Bahamas, The",IR1,4,2021-January,2021-01-01
53,"Bahamas, The",IR2,3,2021-January,2021-01-01
54,Bahrain,CR1,1,2021-January,2021-01-01
55,Bahrain,E35,1,2021-January,2021-01-01
56,Bahrain,IR2,1,2021-January,2021-01-01
57,Bangladesh,CR1,105,2021-January,2021-01-01
58,Bangladesh,F41,2,2021-January,2021-01-01
59,Bangladesh,F42,2,2021-January,2021-01-01
60,Bangladesh,F43,5,2021-January,2021-01-01
61,Bangladesh,FX1,1,2021-January,2021-01-01
62,Bangladesh,IR1,331,2021-January,2021-01-01
63,Bangladesh,IR2,56,2021-January,2021-01-01
64,Bangladesh,IR5,1,2021-January,2021-01-01
65,Bangladesh,SB1,1,2021-January,2021-01-01
66,Barbados,CR1,3,2021-January,2021-01-01
67,Barbados,CR2,1,2021-January,2021-01-01
68,Barbados,E34,1,2021-January,2021-01-01
69,Barbados,E35,1,2021-January,2021-01-01
70,Barbados,IR1,5,2021-January,2021-01-01
71,Barbados,IR2,1,2021-January,2021-01-01
72,Belarus,CR1,3,2021-January,2021-01-01
73,Belarus,CR2,2,2021-January,2021-01-01
74,Belarus,FX1,2,2021-January,2021-01-01
75,Belarus,FX3,1,2021-January,2021-01-01
76,Belarus,IR1,1,2021-January,2021-01-01
77,Belgium,IR1,1,2021-January,2021-01-01
78,Belize,CR1,1,2021-January,2021-01-01
79,Belize,CR2,1,2021-January,2021-01-01
80,Belize,IH4,4,2021-January,2021-01-01
81,Belize,IR1,3,2021-January,2021-01-01
82,Belize,IR2,3,2021-January,2021-01-01
83,Benin,IR1,1,2021-January,2021-01-01
84,Benin,IR2,1,2021-January,2021-01-01
85,Benin,IR5,1,2021-January,2021-01-01
86,Bermuda,CR1,2,2021-January,2021-01-01
87,Bermuda,IR1,1,2021-January,2021-01-01
88,Bermuda,IR2,3,2021-January,2021-01-01
89,Bolivia,IR1,1,2021-January,2021-01-01
90,Bosnia-Herzegovina,CR1,5,2021-January,2021-01-01
91,Bosnia-Herzegovina,IR1,1,2021-January,2021-01-01
92,Bosnia-Herzegovina,IR2,2,2021-January,2021-01-01
93,Botswana,CR1,1,2021-January,2021-01-01
94,Brazil,CR1,6,2021-January,2021-01-01
95,Brazil,CR2,2,2021-January,2021-01-01
96,Brazil,FX2,1,2021-January,2021-01-01
97,Brazil,IR1,16,2021-January,2021-01-01
98,Brazil,IR2,4,2021-January,2021-01-01
99,British Virgin Islands,IR1,1,2021-January,2021-01-01
100,Bulgaria,CR1,2,2021-January,2021-01-01
101,Bulgaria,IH3,8,2021-January,2021-01-01
102,Bulgaria,IR1,2,2021-January,2021-01-01
