,Post,Visa Class,Issuances,source,year_month
0,Abidjan,CR1,7,2019-January,2019-01-01
1,Abidjan,DV1,20,2019-January,2019-01-01
2,Abidjan,DV2,3,2019-January,2019-01-01
3,Abidjan,DV3,2,2019-January,2019-01-01
4,Abidjan,F11,2,2019-January,2019-01-01
5,Abidjan,F21,5,2019-January,2019-01-01
6,Abidjan,F22,5,2019-January,2019-01-01
7,Abidjan,F23,4,2019-January,2019-01-01
8,Abidjan,F42,1,2019-January,2019-01-01
9,Abidjan,FX1,2,2019-January,2019-01-01
10,Abidjan,FX2,2,2019-January,2019-01-01
11,Abidjan,IR1,2,2019-January,2019-01-01
12,Abidjan,IR2,13,2019-January,2019-01-01
13,Abidjan,IR5,7,2019-January,2019-01-01
14,Abu Dhabi,CR1,20,2019-January,2019-01-01
15,Abu Dhabi,E13,1,2019-January,2019-01-01
16,Abu Dhabi,E21,2,2019-January,2019-01-01
17,Abu Dhabi,E22,1,2019-January,2019-01-01
18,Abu Dhabi,E23,2,2019-January,2019-01-01
19,Abu Dhabi,E31,67,2019-January,2019-01-01
20,Abu Dhabi,E34,54,2019-January,2019-01-01
21,Abu Dhabi,E35,89,2019-January,2019-01-01
22,Abu Dhabi,EW3,1,2019-January,2019-01-01
23,Abu Dhabi,F21,2,2019-January,2019-01-01
24,Abu Dhabi,F24,1,2019-January,2019-01-01
25,Abu Dhabi,F31,1,2019-January,2019-01-01
26,Abu Dhabi,F33,3,2019-January,2019-01-01
27,Abu Dhabi,F41,7,2019-January,2019-01-01
28,Abu Dhabi,F42,6,2019-January,2019-01-01
29,Abu Dhabi,F43,9,2019-January,2019-01-01
30,Abu Dhabi,FX1,4,2019-January,2019-01-01
31,Abu Dhabi,FX2,4,2019-January,2019-01-01
32,Abu Dhabi,FX3,2,2019-January,2019-01-01
33,Abu Dhabi,I53,1,2019-January,2019-01-01
34,Abu Dhabi,IR1,23,2019-January,2019-01-01
35,Abu Dhabi,IR2,26,2019-January,2019-01-01
36,Abu Dhabi,IR4,2,2019-January,2019-01-01
37,Abu Dhabi,IR5,34,2019-January,2019-01-01
38,Abu Dhabi,SQ1,1,2019-January,2019-01-01
39,Abu Dhabi,SQ2,2,2019-January,2019-01-01
40,Abu Dhabi,SQ3,3,2019-January,2019-01-01
41,Abu Dhabi,T51,1,2019-January,2019-01-01
42,Abu Dhabi,T52,1,2019-January,2019-01-01
43,Abu Dhabi,T53,1,2019-January,2019-01-01
44,Accra,CR1,109,2019-January,2019-01-01
45,Accra,CR2,8,2019-January,2019-01-01
46,Accra,DV1,9,2019-January,2019-01-01
47,Accra,DV2,2,2019-January,2019-01-01
48,Accra,DV3,3,2019-January,2019-01-01
49,Accra,E21,1,2019-January,2019-01-01
50,Accra,E31,4,2019-January,2019-01-01
51,Accra,F11,17,2019-January,2019-01-01
52,Accra,F12,3,2019-January,2019-01-01
53,Accra,F21,24,2019-January,2019-01-01
54,Accra,F22,14,2019-January,2019-01-01
55,Accra,F23,13,2019-January,2019-01-01
56,Accra,F24,5,2019-January,2019-01-01
57,Accra,F25,2,2019-January,2019-01-01
58,Accra,F31,2,2019-January,2019-01-01
59,Accra,F32,2,2019-January,2019-01-01
60,Accra,F33,4,2019-January,2019-01-01
61,Accra,F41,11,2019-January,2019-01-01
62,Accra,F42,6,2019-January,2019-01-01
63,Accra,F43,13,2019-January,2019-01-01
64,Accra,FX1,15,2019-January,2019-01-01
65,Accra,FX2,19,2019-January,2019-01-01
66,Accra,FX3,8,2019-January,2019-01-01
67,Accra,IB3,8,2019-January,2019-01-01
68,Accra,IR1,130,2019-January,2019-01-01
69,Accra,IR2,139,2019-January,2019-01-01
70,Accra,IR3,1,2019-January,2019-01-01
71,Accra,IR5,120,2019-January,2019-01-01
72,Accra,SE1,1,2019-January,2019-01-01
73,Accra,SE2,1,2019-January,2019-01-01
74,Accra,SE3,2,2019-January,2019-01-01
75,Addis Ababa,CR1,61,2019-January,2019-01-01
76,Addis Ababa,DV1,30,2019-January,2019-01-01
77,Addis Ababa,DV2,10,2019-January,2019-01-01
78,Addis Ababa,DV3,13,2019-January,2019-01-01
79,Addis Ababa,E21,1,2019-January,2019-01-01
80,Addis Ababa,E22,1,2019-January,2019-01-01
81,Addis Ababa,E23,3,2019-January,2019-01-01
82,Addis Ababa,F11,11,2019-January,2019-01-01
83,Addis Ababa,F12,2,2019-January,2019-01-01
84,Addis Ababa,F21,6,2019-January,2019-01-01
85,Addis Ababa,F22,22,2019-January,2019-01-01
86,Addis Ababa,F24,3,2019-January,2019-01-01
87,Addis Ababa,F25,1,2019-January,2019-01-01
88,Addis Ababa,F41,4,2019-January,2019-01-01
89,Addis Ababa,F42,1,2019-January,2019-01-01
90,Addis Ababa,F43,7,2019-January,2019-01-01
91,Addis Ababa,FX1,14,2019-January,2019-01-01
92,Addis Ababa,FX2,27,2019-January,2019-01-01
93,Addis Ababa,IR1,39,2019-January,2019-01-01
94,Addis Ababa,IR2,41,2019-January,2019-01-01
95,Addis Ababa,IR5,104,2019-January,2019-01-01
96,Addis Ababa,SE1,3,2019-January,2019-01-01
97,Addis Ababa,SE2,5,2019-January,2019-01-01
98,Addis Ababa,SE3,27,2019-January,2019-01-01
99,AIT Taipei,CR1,11,2019-January,2019-01-01
100,AIT Taipei,E32,1,2019-January,2019-01-01
101,AIT Taipei,E34,2,2019-January,2019-01-01
102,AIT Taipei,E35,2,2019-January,2019-01-01
103,AIT Taipei,F11,4,2019-January,2019-01-01
104,AIT Taipei,F12,1,2019-January,2019-01-01
105,AIT Taipei,F24,4,2019-January,2019-01-01
106,AIT Taipei,F31,7,2019-January,2019-01-01
107,AIT Taipei,F32,6,2019-January,2019-01-01
108,AIT Taipei,F33,11,2019-January,2019-01-01
109,AIT Taipei,F41,14,2019-January,2019-01-01
110,AIT Taipei,F42,4,2019-January,2019-01-01
111,AIT Taipei,F43,16,2019-January,2019-01-01
112,AIT Taipei,FX1,4,2019-January,2019-01-01
113,AIT Taipei,FX3,3,2019-January,2019-01-01
114,AIT Taipei,I51,4,2019-January,2019-01-01
115,AIT Taipei,I52,2,2019-January,2019-01-01
116,AIT Taipei,I53,3,2019-January,2019-01-01
117,AIT Taipei,IR1,15,2019-January,2019-01-01
118,AIT Taipei,IR2,2,2019-January,2019-01-01
119,AIT Taipei,IR3,5,2019-January,2019-01-01
120,AIT Taipei,IR5,26,2019-January,2019-01-01
121,AIT Taipei,SB1,1,2019-January,2019-01-01
122,AIT Taipei,SD1,1,2019-January,2019-01-01
123,Algiers,CR1,10,2019-January,2019-01-01
124,Algiers,DV1,29,2019-January,2019-01-01
125,Algiers,DV2,8,2019-January,2019-01-01
126,Algiers,DV3,7,2019-January,2019-01-01
127,Algiers,F21,10,2019-January,2019-01-01
128,Algiers,FX1,1,2019-January,2019-01-01
129,Algiers,FX2,1,2019-January,2019-01-01
130,Algiers,IR1,9,2019-January,2019-01-01
131,Algiers,IR2,3,2019-January,2019-01-01
132,Algiers,IR5,15,2019-January,2019-01-01
133,Algiers,SE1,1,2019-January,2019-01-01
134,Algiers,SE3,1,2019-January,2019-01-01
